stock,endDate,capitalExpenditures,changeToNetincome,changeToAccountReceivables,changeToInventory,dividendsPaid,otherCashflowsFromInvestingActivities,depreciation,totalCashFromOperatingActivities,effectOfExchangeRate,repurchaseOfStock,changeInCash,netIncome,changeToOperatingActivities,totalCashFromFinancingActivities,netBorrowings,totalCashflowsFromInvestingActivities,changeToLiabilities,issuanceOfStock,investments,otherCashflowsFromFinancingActivities
IVC,2020-03-31,-2121000.0,-7751000.0,1627000.0,-2930000.0,-414000.0,-2248000.0,5344000.0,-9839000.0,-1637000.0,-773000.0,18869000.0,732000,-18018000.0,20147000.0,21334000.0,10198000.0,7950000,,,
IVC,2019-12-31,-3697000.0,11446000.0,-27000.0,3293000.0,-411000.0,-741000.0,5763000.0,7475000.0,1494000.0,-34000.0,-4977000.0,-18683000,4640000.0,-9508000.0,-7785000.0,-4438000.0,-2377000,,,
IVC,2019-09-30,-2856000.0,2451000.0,2588000.0,-599000.0,-415000.0,-32000.0,6263000.0,15121000.0,-1706000.0,-34000.0,-4471000.0,-8041000,4395000.0,-15007000.0,-14592000.0,-2879000.0,4665000,,,
IVC,2019-06-30,-2509000.0,1714000.0,-4622000.0,5360000.0,-411000.0,-20000.0,6394000.0,2735000.0,-894000.0,-479000.0,-2415000.0,-12717000,3638000.0,-1771000.0,-881000.0,-2485000.0,-1208000,,,
CSLT,2020-03-31,-1264000.0,54888000.0,-6676000.0,,,,1535000.0,-14359000.0,,,-5336000.0,-56335000,-7190000.0,-124000.0,-465000.0,9147000.0,-3889000,341000.0,10411000.0,
CSLT,2019-12-31,-1241000.0,4558000.0,4045000.0,,,,1552000.0,3992000.0,,,6977000.0,-11746000,774000.0,671000.0,-465000.0,2314000.0,-688000,1136000.0,3555000.0,
CSLT,2019-09-30,-119000.0,4321000.0,-2831000.0,,,,1681000.0,-7436000.0,,,-14012000.0,-9336000,-2226000.0,-385000.0,-464000.0,-6191000.0,-2688000,79000.0,-6072000.0,
CSLT,2019-06-30,-389000.0,6068000.0,2088000.0,,,,1343000.0,-1817000.0,,,-16286000.0,-8381000,-5875000.0,-300000.0,-465000.0,-14169000.0,-470000,165000.0,-13780000.0,
LPX,2020-03-31,-24000000.0,-2000000.0,-31000000.0,-36000000.0,-16000000.0,,28000000.0,-9000000.0,-3000000.0,,293000000.0,33000000,-1000000.0,329000000.0,350000000.0,-24000000.0,-16000000,,,-5000000.0
LPX,2019-12-31,-44000000.0,81000000.0,26000000.0,-10000000.0,-16000000.0,,33000000.0,100000000.0,-3000000.0,,-123000000.0,-51000000,4000000.0,-176000000.0,-3000000.0,-47000000.0,25000000,,,1000000.0
LPX,2019-09-30,-37000000.0,15000000.0,-6000000.0,31000000.0,-16000000.0,,30000000.0,59000000.0,-2000000.0,,-44000000.0,2000000,-3000000.0,-60000000.0,-3000000.0,-40000000.0,-11000000,,,-2000000.0
LPX,2019-06-30,-38000000.0,1000000.0,-6000000.0,19000000.0,-17000000.0,,29000000.0,54000000.0,1000000.0,,-13000000.0,17000000,-3000000.0,-22000000.0,-3000000.0,-45000000.0,-2000000,,,-2000000.0
GDYN,2020-03-31,-692000.0,2116000.0,-1919000.0,,,,646000.0,-2886000.0,,-123865000.0,79290000.0,-4596000,-827000.0,82868000.0,,-692000.0,1499000,,,206733000.0
GDYN,2019-12-31,-712000.0,32000.0,-313000.0,,,,630000.0,1718000.0,,-9187000.0,1006000.0,2107000,-2368000.0,82868000.0,,-712000.0,438000,,,206733000.0
GDYN,2019-03-31,-226000.0,1655000.0,2059000.0,,,,510000.0,6944000.0,,-9187000.0,4718000.0,712000,2125000.0,-2000000.0,,-226000.0,103000,,,206733000.0
GDYN,2018-12-31,-881000.0,1267000.0,-1669000.0,,,,499000.0,1184000.0,,-9187000.0,303000.0,912000,-333000.0,-2000000.0,,-881000.0,115000,,,206733000.0
ARA,2020-03-31,-5772000.0,8628000.0,311000.0,174000.0,-5000.0,,8022000.0,13678000.0,,-427000.0,27885000.0,-7234000,-4747000.0,19979000.0,29469000.0,-5772000.0,7714000,154000.0,,-9212000.0
ARA,2019-12-31,-5217000.0,12052000.0,1208000.0,126000.0,-6000.0,,8955000.0,3718000.0,,-49000.0,-25696000.0,90000,-10945000.0,-27297000.0,-8174000.0,-2117000.0,-8515000,154000.0,,-19068000.0
ARA,2019-09-30,-3736000.0,22105000.0,4189000.0,-487000.0,-19000.0,,9275000.0,27355000.0,,-38000.0,-9896000.0,4777000,-13783000.0,-36515000.0,-18078000.0,-736000.0,406000,154000.0,,-18380000.0
ARA,2019-06-30,-5669000.0,13382000.0,-8227000.0,-482000.0,-14000.0,,10299000.0,17741000.0,,-3000.0,5215000.0,-8178000,-1005000.0,-6857000.0,16286000.0,-5669000.0,11233000,154000.0,,-23126000.0
MBOT,2020-03-31,-68000.0,343000.0,,,,,17000.0,-5921000.0,,,-3468000.0,-2205000,-110000.0,,,2453000.0,-3966000,,2521000.0,
MBOT,2019-12-31,-216000.0,79000.0,,,,,40000.0,-1920000.0,,,25331000.0,-1870000,-126000.0,,,43000.0,321000,,2521000.0,
MBOT,2019-09-30,-216000.0,268000.0,,,,,19000.0,-1331000.0,,,-1331000.0,-1874000,-126000.0,,,43000.0,225000,,2521000.0,
MBOT,2019-06-30,-216000.0,316000.0,,,,,14000.0,-477000.0,,,-477000.0,-1542000,-126000.0,,,43000.0,-43000,,2521000.0,
AZRX,2020-03-31,-4340.0,450911.0,2064252.0,,,,140810.0,-1291280.0,-6423.0,,1454211.0,-5261290,87906.0,2756254.0,2612254.0,-4340.0,-832955,144000.0,,
AZRX,2019-12-31,-6855.0,341623.0,-487878.0,,,,-240512.0,-3225985.0,12406.0,,-1374029.0,-1281623,-919945.0,1846405.0,1861672.0,-6855.0,-1021884,144000.0,,
AZRX,2019-09-30,-3906.0,-157997.0,-68829.0,,,,533341.0,-4153740.0,-6562.0,,239138.0,-4192472,71468.0,4403346.0,-64714.0,-3906.0,-339251,4468060.0,,
AZRX,2019-06-30,15.0,335887.0,-43644.0,,,,148814.0,-4025980.0,-5292.0,,896829.0,-5042837,150402.0,4928086.0,-95870.0,15.0,425397,5023956.0,,
XXII,2020-03-31,-8000.0,803000.0,-266000.0,-182000.0,,,328000.0,-4662000.0,,,234000.0,-4028000,-744000.0,,,4896000.0,-573000,,5007000.0,
XXII,2019-12-31,-27980.0,2377727.0,-92892.0,14174.0,,,313945.0,-2889823.0,,,-132672.0,-6198431,935063.0,,,-7558466.0,-239409,,-7408655.0,
XXII,2019-09-30,-101600.0,7119740.0,136718.0,-334061.0,,,390405.0,-2952728.0,,,-256644.0,-10245717,-52121.0,,,2696084.0,32309,,2997537.0,
XXII,2019-06-30,-272523.0,3821441.0,564190.0,402740.0,,,370048.0,-4063023.0,,,285467.0,-8041682,29061.0,,,4748490.0,-1208821,,5257623.0,
ABTX,2020-03-31,-1510000.0,10633000.0,,,-2033000.0,-6485000.0,1856000.0,10410000.0,,-9302000.0,-171359000.0,3516000,-1482000.0,-9595000.0,115000000.0,-172174000.0,0,1157000.0,-115612000.0,-114417000.0
ABTX,2019-12-31,-1106000.0,179000.0,,,-2033000.0,7967000.0,2038000.0,12104000.0,,-11508000.0,45629000.0,13986000,-2676000.0,77354000.0,-84089000.0,-43829000.0,0,1850000.0,-21774000.0,171101000.0
ABTX,2019-09-30,-11214000.0,2271000.0,,,-2033000.0,-5172000.0,2001000.0,20985000.0,,-13986000.0,68012000.0,12047000,4931000.0,94550000.0,71195000.0,-47523000.0,0,496000.0,-2219000.0,36845000.0
ABTX,2019-06-30,-650000.0,-535000.0,,,-2033000.0,5673000.0,1933000.0,14153000.0,,-15825000.0,-26236000.0,14248000,-976000.0,10159000.0,-54997000.0,-50548000.0,0,402000.0,-649000.0,80579000.0
NATH,2019-12-29,-179000.0,418000.0,1750000.0,16000.0,-1479000.0,,294000.0,567000.0,,-985000.0,-2076000.0,1213000,-335000.0,-2464000.0,,-179000.0,-2961000,,,
NATH,2019-09-29,-76000.0,20000.0,2808000.0,133000.0,-1479000.0,,337000.0,7131000.0,,-8000.0,5568000.0,3658000,232000.0,-1487000.0,,-76000.0,-230000,,,
NATH,2019-06-30,-106000.0,275000.0,-4828000.0,-213000.0,-1479000.0,,310000.0,-1036000.0,,-8000.0,-1543000.0,5369000,308000.0,-401000.0,,-106000.0,-2430000,,,
NATH,2019-03-31,-121000.0,457000.0,-636000.0,-53000.0,-1048000.0,,250000.0,3783000.0,,-8000.0,2614000.0,2492000,-115000.0,-1048000.0,,-121000.0,1215000,,,
EGBN,2020-03-31,-83000.0,13906000.0,,,-7225000.0,-4794000.0,1171000.0,35786000.0,,-44168000.0,697641000.0,23123000,-2414000.0,966377000.0,100397000.0,-304522000.0,0,196000.0,-6138000.0,917177000.0
EGBN,2019-12-31,-668000.0,-2701000.0,,,-7406000.0,-7050000.0,-2501000.0,40345000.0,,-21518000.0,-153549000.0,35456000,10091000.0,-56166000.0,150683000.0,-137728000.0,0,197000.0,-137827000.0,-178122000.0
EGBN,2019-09-30,-2171000.0,-6568000.0,,,-7327000.0,5268000.0,3748000.0,43534000.0,,-33385000.0,198888000.0,36495000,9859000.0,285749000.0,-126372000.0,-130395000.0,0,212000.0,36374000.0,452621000.0
EGBN,2019-06-30,876000.0,-10038000.0,,,-7599000.0,1002000.0,2609000.0,21101000.0,,-33385000.0,74544000.0,37243000,-8713000.0,239844000.0,-19749000.0,-186401000.0,0,219000.0,31060000.0,266973000.0
PUK,2019-12-31,-21404675.0,-2160837792.0,,,-240879213.0,161578703.0,161036753.0,-2697861036.0,116730779.0,,-2720057512.0,-624988975,254928979.0,-149101284.0,196383120.0,10174028.0,0,4377922.0,,-108983114.0
PUK,2019-09-30,-22160386.0,-2160885024.0,,,-281970973.0,150054118.0,164957001.0,-2715809161.0,115644446.0,,-2828360277.0,-552487996,160606858.0,-226089294.0,177490357.0,-2106268.0,0,4850241.0,,-126458920.0
PUK,2019-06-30,-8000000.0,-500000.0,,,-435000000.0,-122000000.0,41500000.0,-190000000.0,-11500000.0,,-1146500000.0,767500000,-998500000.0,-815000000.0,-200000000.0,-130000000.0,0,5000000.0,,-185000000.0
PUK,2019-03-31,-8000000.0,-500000.0,,,-435000000.0,-122000000.0,41500000.0,-190000000.0,-11500000.0,,-1146500000.0,767500000,-998500000.0,-815000000.0,-200000000.0,-130000000.0,0,5000000.0,,-185000000.0
TSLX,2020-03-31,,177319000.0,3314000.0,,-25102000.0,,,154266000.0,,-2932000.0,5622000.0,-53099000,24683000.0,-148644000.0,-116497000.0,,709000,,,-4113000.0
