stock,endDate,netIncomeApplicableToCommonShares,netIncomeFromContinuingOps,totalOtherIncomeExpenseNet,costOfRevenue,totalOperatingExpenses,totalRevenue,incomeTaxExpense,interestExpense,operatingIncome,ebit,grossProfit,sellingGeneralAdministrative,netIncome,incomeBeforeTax,researchDevelopment,minorityInterest,otherOperatingExpenses,discontinuedOperations
IVC,2020-03-31,732000.0,732000.0,1582000,155452000,217190000,218440000,2100000,-6676000.0,1250000.0,1250000,62988000,61738000.0,732000,2832000.0,,,,
IVC,2019-12-31,-18683000.0,-18683000.0,-21822000,164952000,227797000,232913000,1977000,-7049000.0,5116000.0,5116000,67961000,62845000.0,-18683000,-16706000.0,,,,
IVC,2019-09-30,-8041000.0,-8041000.0,-8470000,168189000,232045000,235774000,3300000,-6992000.0,3729000.0,3729000,67585000,63856000.0,-8041000,-4741000.0,,,,
IVC,2019-06-30,-12717000.0,-12717000.0,-7655000,170792000,238845000,235858000,2075000,-7721000.0,-2987000.0,-2987000,65066000,68053000.0,-12717000,-10642000.0,,,,
CSLT,2020-03-31,-56335000.0,-56335000.0,-50037000,14473000,45343000,39045000,0,,-6298000.0,-6298000,24572000,17048000.0,-56335000,-56335000.0,13822000.0,,,
CSLT,2019-12-31,-11746000.0,-11746000.0,496000,16300000,48689000,36447000,0,,-12242000.0,-12242000,20147000,17902000.0,-11746000,-11746000.0,14487000.0,,,
CSLT,2019-09-30,-9336000.0,-9336000.0,268000,14501000,45065000,35461000,0,,-9604000.0,-9604000,20960000,16269000.0,-9336000,-9336000.0,14295000.0,,,
CSLT,2019-06-30,-8381000.0,-8381000.0,258000,14163000,44549000,35910000,0,,-8639000.0,-8639000,21747000,15899000.0,-8381000,-8381000.0,14487000.0,,,
LPX,2020-03-31,33000000.0,33000000.0,-10000000,477000000,533000000,585000000,9000000,-6000000.0,52000000.0,52000000,108000000,56000000.0,33000000,42000000.0,,10000000.0,,
LPX,2019-12-31,-51000000.0,-52000000.0,-91000000,467000000,524000000,537000000,-26000000,-3000000.0,13000000.0,13000000,70000000,58000000.0,-51000000,-78000000.0,,10000000.0,,
LPX,2019-09-30,2000000.0,1000000.0,-12000000,529000000,587000000,603000000,3000000,-6000000.0,16000000.0,16000000,74000000,59000000.0,2000000,4000000.0,,12000000.0,,
LPX,2019-06-30,17000000.0,15000000.0,-5000000,510000000,565000000,588000000,3000000,-5000000.0,23000000.0,23000000,78000000,59000000.0,17000000,18000000.0,,13000000.0,,
GDYN,2020-03-31,-4596000.0,-4596000.0,-1533000,22639000,38202000,32457000,-2682000,,-5745000.0,-5745000,9818000,13023000.0,-4596000,-7278000.0,2540000.0,,,
GDYN,2019-12-31,1895000.0,2107000.0,-738000,19945000,27122000,32001000,2034000,,4879000.0,4879000,12056000,6495000.0,2107000,4141000.0,682000.0,,,
GDYN,2019-03-31,712000.0,712000.0,-162000,15931000,25218000,26277000,185000,,1059000.0,1059000,10346000,7742000.0,712000,897000.0,1545000.0,,,
GDYN,2018-12-31,912000.0,912000.0,-1073000,15191000,22678000,25489000,826000,,2811000.0,2811000,10298000,7459000.0,912000,1738000.0,28000.0,,,
ARA,2020-03-31,-7492000.0,-2328000.0,-11095000,142844000,188159000,193182000,-3744000,-11012000.0,5023000.0,5023000,50338000,36283000.0,-7234000,-6072000.0,,288078000.0,,
ARA,2019-12-31,-7032000.0,9123000.0,-18924000,143697000,186121000,206079000,-8089000,-11054000.0,19958000.0,19958000,62382000,33469000.0,90000,1034000.0,,290472000.0,,
ARA,2019-09-30,3616000.0,17027000.0,-22581000,154588000,182916000,211429000,-11095000,-12242000.0,28513000.0,28513000,56841000,18783000.0,4777000,5932000.0,,284857000.0,,
ARA,2019-06-30,-7153000.0,5140000.0,-20226000,147363000,187242000,213252000,644000,-11541000.0,26010000.0,26010000,65889000,29580000.0,-8178000,5784000.0,,294731000.0,,
MBOT,2020-03-31,-2205000.0,-2205000.0,-42000,0,2163000,0,0,-42000.0,-2163000.0,-2163000,0,1472000.0,-2205000,-2205000.0,691000.0,,,
MBOT,2019-12-31,-1870000.0,-1870000.0,118000,0,1988000,0,0,-156000.0,-1988000.0,-1988000,0,1325000.0,-1870000,-1870000.0,663000.0,,,
MBOT,2019-09-30,-1874000.0,-1874000.0,-83000,0,1791000,0,0,-83000.0,-1791000.0,-1791000,0,948000.0,-1874000,-1874000.0,843000.0,,,
MBOT,2019-06-30,-1542000.0,-1542000.0,3000,0,1545000,0,0,-83000.0,-1545000.0,-1545000,0,804000.0,-1542000,-1542000.0,741000.0,,,
AZRX,2020-03-31,-5261290.0,-5261290.0,-2332839,0,2928451,0,0,-2332839.0,-2928451.0,-2928451,0,1375091.0,-5261290,-5261290.0,1553360.0,,,
AZRX,2019-12-31,-1281623.0,-1281623.0,-155784,0,1125839,0,0,-155784.0,-1125839.0,-1125839,0,-487438.0,-1281623,-1281623.0,1613277.0,,,
AZRX,2019-09-30,-4192472.0,-4192472.0,-110398,0,4082074,0,0,-110398.0,-4082074.0,-4082074,0,1871983.0,-4192472,-4192472.0,2210091.0,,,
AZRX,2019-06-30,-5042837.0,-5042837.0,-110646,0,4932191,0,0,-110646.0,-4932191.0,-4932191,0,2193423.0,-5042837,-5042837.0,2738768.0,,,
